link,text,user,date,is_retweet,comments,retweets,quotes,likes,images,video,gifs,topic
https://twitter.com/BhabaniSankarT5/status/1635979312540323841#m,to get the opportunity to meet Sara Wu.  #IVLP #SingleCountryProgram #America #ClimateChange #BioDiversityMatters #india #forestfire #forestlife #ForestDepartment #OdishaNews #portlandoregon #worldforestry World Forestry Center,Bhabani Sankar Tripathy,"Mar 15, 2023 · 12:20 PM UTC",False,1,0,0,5,,,,#forestfire
https://twitter.com/davidwfloydart/status/1614985331513888768#m,"This fawn and bobcat were found in an office together, cuddling under a desk after a forest fire 🔥 #fawn #bobcat #interspecieslove #abandoned #firesurvivors #firefighters #forestfire https://www.instagram.com/p/CneoKSJLf4wJSoAfRPI92uQg06tmfeikMr1NU80/?igshid=YTgzYjQ4ZTY=",David Wayne Floyd,"Jan 16, 2023 · 1:58 PM UTC",False,0,0,0,0,,,,#forestfire
https://twitter.com/JohnUmphrey406/status/1592922321760964608#m,"Firefighting waterscoop planes, refilling in Flathead Lake to out a forest fire in the Mission Mountains. Incredible planes, even more incredible crews.  #ForestFire #Wildfire #Montana #FlatheadLake #Smoke",John Umphrey,"Nov 16, 2022 · 4:47 PM UTC",False,1,0,0,3,https://pbs.twimg.com/media/FhsyY8FUYAApgzq.jpg,,,#forestfire
https://twitter.com/paintedblahblah/status/1588720514440523776#m,"Science, Not Silence #ClimateCrisis #forestfire @GretaThunberg #decarbonisation",Aleksandar Saša Babić,"Nov 5, 2022 · 2:31 AM UTC",False,0,1,0,8,https://pbs.twimg.com/media/FgxE4qHagAA4GyJ.jpg,,,#forestfire
https://twitter.com/VancouverSport2/status/1584809178673336320#m,"From UBC heading to Vancouver at the peak of the smoke @vancouver @vancouver.community_  #climatechange #climate #forestfire @ Vancouver, British Columbia https://www.instagram.com/p/CkINoetOPLK/?igshid=YTgzYjQ4ZTY=",Vancouver Sports Pic,"Oct 25, 2022 · 7:28 AM UTC",False,0,0,0,2,,,,#forestfire
https://twitter.com/Koosh604/status/1583441121879142401#m,I genuinely don’t know if I’m getting sick or if my throat is just sore from the forest fire smoke…? I was literally just sick with a pretty bad cold like a week ago. I can’t already be getting sick again? Can I? Somebody help me. #Covid #ForestFire #Smoke,𝐋𝐲𝐥𝐞 𝐉𝐞𝐟𝐟𝐫𝐞𝐲💚,"Oct 21, 2022 · 12:52 PM UTC",False,1,0,0,1,,,https://video.twimg.com/tweet_video/FfmDTVbaEAAgLcn.mp4,#forestfire
https://twitter.com/MrsWegert/status/1582848706399080448#m,Matchstick forests in the #STEM Lab today! 3rd grade observed how #forest structure impacts #fire behavior. How does the density of trees and slope of the land affect 🔥? @Lyons_ES @CSFS_Outreach #fireworks #STEMeducation #forestfire,Sarah L Wegert 😎,"Oct 19, 2022 · 9:38 PM UTC",False,0,1,1,11,https://pbs.twimg.com/media/Ffdogg3aYAEQWTu.jpg,,,#forestfire
https://twitter.com/_Beth_Wagner_/status/1582751841733201925#m,You know the smoke is bad when you can’t even see buildings that are five blocks away. (This is in Burnaby and we don’t have any forest fires here at the moment) #forestfire #washingtonfire #chilliwackfire,Beth Wagner - @_Beth_Wagner_ on Mastadon,"Oct 19, 2022 · 3:13 PM UTC",False,0,0,0,3,,,,#forestfire
https://twitter.com/RyanVoutilainen/status/1581737062692458496#m,I’ll bet better footage in a couple of hours but don’t think we’re gonna make it to 30°C at least in #Chilliwack #BC today… lots and lots of #ForestFire/#wildfire #smoke. This is unbelievable for #October. 23°C here.  #BCstorm #BCsmoke #BCheat #BCdrought @50ShadesofVan,Ryan Voutilainen 🇨🇦🇫🇮,"Oct 16, 2022 · 8:01 PM UTC",False,1,1,0,14,https://pbs.twimg.com/media/FfN1eRsaYAAAUeu.jpg,,,#forestfire
https://twitter.com/RyanVoutilainen/status/1577048580183191552#m,Not sure where the #Minnekhada #forestfire is at today but yesterday’s #smoke from this local blaze with relatively low ventilation sure ain’t helping matters…,Ryan Voutilainen 🇨🇦🇫🇮,"Oct 3, 2022 · 9:30 PM UTC",False,0,0,0,6,,,,#forestfire
https://twitter.com/RyanVoutilainen/status/1576747272444186627#m,For now it appears the #Minnekhada #ForestFire poses no concern for nearby structures or residents which is good news.  Tho certainly a wake-up-call to Metro #Vancouver residents that we are not immune to the risk of #interface #wildfires.   #BCdrought #BCdry #BCstorm #BCwildfire,Ryan Voutilainen 🇨🇦🇫🇮,"Oct 3, 2022 · 1:33 AM UTC",False,1,1,0,11,,,,#forestfire
https://twitter.com/RyanVoutilainen/status/1576711674887045120#m,And a closer view of the #Minnekhada #ForestFire in #Coquitlam #BC taken  from #AC116 taken by my partner @whykillkenny,Ryan Voutilainen 🇨🇦🇫🇮,"Oct 2, 2022 · 11:12 PM UTC",False,0,4,0,9,https://pbs.twimg.com/media/FeGa6ThaYAIHRi_.jpg,,,#forestfire
https://twitter.com/RyanVoutilainen/status/1576711283952750592#m,Apparently my partner & I have the #Minnekhada #ForestFire in #Coquitlam #BC from all angles for you. The #BCWildfire as seen from @AirCanada flight #AC116 (YVR➡️YYZ) 📸: @whykillkenny #ShareYourWeather #BCdrought #BCstorm #BCdry #BCsmoke,Ryan Voutilainen 🇨🇦🇫🇮,"Oct 2, 2022 · 11:10 PM UTC",False,1,5,1,21,https://pbs.twimg.com/media/FeGajZPaUAEvI1u.jpg,,,#forestfire
https://twitter.com/RyanVoutilainen/status/1576689926615465984#m,Public checking out the #Minnekhada #ForestFire in #Coquitlam #BC from a safe distance across the #PittRiver - on a day that does not feel like #October ! 2:41p PT  #ShareYourWeather #BCwildfire #BCdrought #BCstorm #Augtober #Vancouver @50ShadesofVan @KMacTWN,Ryan Voutilainen 🇨🇦🇫🇮,"Oct 2, 2022 · 9:45 PM UTC",False,3,5,1,18,https://pbs.twimg.com/media/FeGHIPgaYAA0ZgQ.jpg,,,#forestfire
